,English,Spanish
6443,short,Es muy corto.
6444,small,Es muy pequeño.
6453,vibrate,Está vibrando.
6454,well do,Está bien hecho.
6455,well do,Está hecho bien.
6457,wonderful,¡Es maravilloso!
6466,follow me,Tan solo sígueme.
6467,forget it,Olvídalo ya.
6468,go it,Simplemente hazlo.
6469,go it,Limítate a hacerlo.
6470,go it,Hazlo y punto.
6471,go it,Hazlo y ya.
6472,let go,Déjame irme.
6473,keep you,Llévalo contigo.
6474,keep you,Consérvalo contigo.
6475,keep listen,Permanezca a la escucha.
6476,keep try,Sigue intentando.
6477,keep try,Siga intentando.
6478,keep search,Sigue buscando.
6479,kid cruel,Los niños son crueles.
6480,lean closer,Inclínate más cerca.
6481,leave there,Déjelo ahí.
6482,leave me,Déjamelo a mí.
6483,leave alone,¡Déjame en paz!
6484,leave alone,¡Déjame sola!
6485,leave alone,¡Dejame en paz!
6486,leave alone,Déjame solo.
6487,leave alone,¡Déjame sola!
6488,leave alone,Déjame solo.
6489,leave alone,Déjeme sola.
6490,leave room,Sal de la sala.
6491,leave room,Sal de la habitación.
6492,leave room,Salí de la habitación.
6493,leave tomorrow,Sal mañana.
6494,leave tomorrow,Vete mañana.
6495,leave tomorrow,Idos mañana.
6496,leave tomorrow,Váyanse mañana.
6497,leave tomorrow,Váyase mañana.
6498,leave us alone,Déjanos solos.
6499,leave us alone,Déjanos solas.
6500,lend hand,Dame una mano.
6501,lend hand,Préstame una mano.
6502,let tom answer,Deja que responda Tom.
6503,let tom finish,Deja terminar a Tom.
6504,let back in,Déjame entrar.
6505,let back in,Déjame entrar otra vez.
6506,let come in,Déjame entrar.
6507,let this,Déjame hacer esto.
6508,let this,Déjeme hacer esto.
6509,let explain,Déjame explicar.
6510,let feel it,Déjame sentirlo.
6511,let feel it,Deja que lo sienta.
6512,let hear it,Déjame oírlo.
6513,let fight,Déjalos pelear.
6514,let us go home,Déjanos irnos a casa.
6515,let brave,Seamos valientes.
6516,let happy,Seamos felices.
6517,let continue,Continuemos.
6518,let eat here,Comamos aquí.
6519,let find out,Averigüémoslo.
6520,let go dutch,Cada uno pagará lo suyo.
6521,let hope not,Esperemos que no.
6522,let hurry up,Apurémonos.
6523,let eat,Comamos y ya.
6524,let play tag,Juguemos a la tiña.
6525,let practice,Practiquemos.
6526,let sit down,Sentémonos.
6527,let stand up,Levantémonos.
6528,let watch tv,Veamos la televisión.
6529,life unfair,La vida es injusta.
6530,listen closely,Escucha atentamente.
6531,listen this,¡Escucha esto!
6532,listen this,Escuchá esto.
6533,listen this,Escuche esto.
6534,live learn,Vive y aprende.
6535,live learn,Viví y aprendé.
6536,louder please,"Más fuerte, por favor."
6537,lunch ready,El almuerzo está preparado.
6538,lie wrong,Mentir está mal.
6539,lynn run fast,Lynn corre rápido.
6540,make happen,Haz que suceda.
6541,make larger,Hazlo más grande.
6542,make simple,Simplifica.
6543,make move,Te toca a ti.
6544,make move,Mueve tú.
6545,make move,Mueves tú.
6546,many fish die,Muchos peces murieron.
6547,mary like you,Mary te quiere.
6548,may eat this,¿Puedo comerme esto?
6549,may join you,¿Puedo acompañarle?
6550,may join you,¿Puedo acompañarles?
6551,may join you,¿Puedo unírmeles?
6552,may kiss you,¿Puedo besarte?
6553,may sit down,¿Me puedo sentar?
6554,may sit here,¿Puedo sentarme aquí?
6555,may use this,¿Puedo usar esto?
6556,men greedy,Los hombres son avariciosos.
6557,money power,Dinero es poder.
6559,move along now,Muévase ya.
6560,brother do,Lo hizo mi hermano.
6561,desk old,Mi escritorio es viejo.
6562,dog bite tom,Mi perro mordió a Tom.
6563,heart hurt,Me duele el corazón.
6564,jaw sore,Mi mandíbula me duele.
6565,joint ache,Me duelen las articulaciones.
6566,name tom,Mi nombre es Tom.
6567,name tom,Me llamo Tom.
6568,nose itch,Me pica la nariz.
6569,nose itch,Tengo comezón en la nariz.
6570,tummy hurt,Me duele mi estomago.
6571,wife mad,Mi esposa está loca.
6572,never say that,Nunca digas eso.
6573,one home,No hay nadie en casa.
6574,one know it,Nadie lo sabía.
6575,one laugh,Nadie se rió.
6576,one shout,Nadie gritó.
6577,one tell me,Nadie me lo dijo.
6578,nobody hurt me,Nadie me lastimó.
6579,nobody laugh,Nadie se rió.
6580,nobody listen,Nadie escucha.
6581,nobodys happy,Nadie es feliz.
6582,nothings free,Nada es gratis.
6583,feel bad,Ahora me siento mal.
6584,know why,Ahora sé por qué.
6585,remember,Ahora recuerdo.
6586,remember,Ahora me acuerdo.
6587,patient,Ahora ten paciencia.
6588,god know,Sólo Dios lo sabe.
6589,god know,Sólo Dios sabe.
6590,tom know,Solo Tom sabe.
6591,open hatch,Abre la trampilla.
6592,open eye,Abre los ojos.
6593,pack bag,Haz tus maletas.
6594,pack bag,Hagan sus maletas.
6595,people like me,Gusto a la gente.
6596,people like me,La gente me adora.
6597,people like me,Caigo bien a la gente.
6598,please come in,"Pase adentro, por favor."
6599,please come in,Por favor entre.
6600,please that,"Por favor, hágalo."
6601,please go away,"Váyase, por favor."
6602,please help me,"Por favor, ayúdeme."
6603,please hold on,"Por favor, aguarda."
6604,please hold on,"Por favor, espere."
6605,please hold on,"Por favor, agárrate fuerte."
6606,please open it,"Ábrelo, por favor."
6607,please say yes,"Por favor, di que sí."
6608,please say yes,"Por favor, diga que sí."
6609,please say yes,"Por favor, digan que sí."
6610,please say yes,"Por favor, decí que sí."
6611,please shut up,"Cállate, por favor."
6612,please tell me,"Dime, por favor."
6613,please tell me,"Díganme, por favor."
6614,please try one,"Por favor, pruebe uno."
6615,please wake up,"Despiértese, por favor."
6616,prepare die,¡Prepárate a morir!
6617,price go up,Los precios subieron.
6618,prove me,Demuéstramelo.
6619,read meter,Lee el contador.
6620,read book,Lee este libro.
6621,read book,Leed este libro.
6622,read book,Lee tu libro.
6623,read book,Lean su libro.
6624,save seat,Resérvame un asiento.
6625,save seat,Guárdame un asiento.
6626,say clearly,Habla claramente.
6627,say clearly,Hable claramente.
6628,say clearly,Dilo claramente.
6629,say again,Repítelo.
6630,see monday,Te veo el lunes.
6631,see around,Te veo por ahí.
6632,send bill,Envíame la cuenta.
6633,shall begin,¿Empezamos?
6634,shall begin,¿Comenzamos?
6635,shall dance,¿Quiere bailar?
6636,shall dance,¿Bailamos?
6637,shall dance,¿Vamos a bailar?
6638,adore him,Ella lo adora.
6639,call him,Ella lo llamó.
6640,come alone,Ella vino sola.
6641,cant swim,No sabe nadar.
6642,choke him,Ella lo ahorcó.
6643,choke him,Ella lo estranguló.
6644,cook well,Ella cocina bien.
6645,dump him,Ella le dejó.
6646,fool him,Ella le engañó.
6647,give money,Ella dio dinero.
6648,get catch,La cogieron.
6649,grow roses,Ella cultivó rosas.
6652,help him,Ella le ayudó.
6653,hug him,Ella le abrazó.
6654,nurse,Ella es una enfermera.
6655,awkward,Ella es torpe.
6661,keep quiet,Ella se quedó quieta.
6662,kick him,Ella lo pateó.
6663,kiss him,Ella lo besó.
6664,kiss him,Ella le besó.
6665,look ill,Ella parecía enferma.
6666,look sad,Ella se veía triste.
6667,look sad,Ella parecía triste.
6668,love cat,Ella adora los gatos.
6669,love cat,Ella ama a los gatos.
6670,love cat,Ella adora a los gatos.
6671,might come,Puede que venga.
6672,might come,Ella podría venir.
6673,miss him,Ella lo extraña.
6674,need this,Ella necesita esto.
6675,seem rich,Ella se ve adinerada.
6676,shoot gun,Ella disparó un arma.
6677,sing well,Ella canta bien.
6678,smell bad,Ella huele mal.
6679,tease him,Ella le provocaba.
6680,trust him,Ella confía en él.
6681,type well,Ella teclea bien.
6683,go blind,Ella se quedó ciega.
6684,go blind,Se quedó ciega.
6685,work hard,Ella trabaja duro.
6686,canadian,Es canadiense.
6687,canadian,Ella es canadiense.
6688,beauty,Ella es una belleza.
6689,adorable,Ella es adorable.
6690,angel,Es un ángel.
6691,demented,Ella está demente.
6692,innocent,Es inocente.
6694,pregnant,Ella está embarazada.
6695,stubborn,Ella es cabezota.
6696,stubborn,Ella es testaruda.
6697,close,¿Debería cerrar?
6698,smoke appear,Apareció humo.
6699,smoke stink,Fumar apesta.
6700,someone call,Ha llamado alguien.
6701,spring here,Llegó la primavera.
6702,spring here,La primavera llegó.
6703,start count,Empieza a contar.
6704,stop gossip,Dejen de chismorrear.
6705,stop gossip,Dejen de copuchar.
6706,stop grumble,Deja de refunfuñar.
6707,stop grumble,Deja de quejarte.
6708,stop resist,¡Deja de resistirte!
6709,stop scream,Deja de chillar.
6710,sugar sweet,El azúcar es dulce.
6711,summer over,El verano terminó.
6712,summer over,El verano se ha ido.
6713,take tom,Llévaselo a Tom.
6714,take back,Devuélvelo.
6715,take back,Llevátelo otra vez.
6716,tell everybody,Díselo a todos.
6717,tell truth,Decí la verdad.
6718,tell truth,Di la verdad.
6719,tell truth,Digan la verdad.
6720,tell truth,Decid la verdad.
6721,tell us joke,Contanos un chiste.
6722,tell us joke,Cuéntanos un chiste.
6728,close,Estuvo cerca.
6729,great,Eso estuvo genial.
6730,harsh,Eso fue aspero.
6731,magic,Eso fue magia.
6732,magic,Eso fue mágico.
6733,go well,Eso salió bien.
6735,change,Cambiará.
6736,change,Eso cambiará.
6737,thats farce,Eso es una farsa.
6738,thats amaze,¡Eso es increíble!
6739,thats amaze,¡Increíble!
6740,thats chicken,Esa es una gallina.
6741,thats correct,Eso es correcto.
6742,thats correct,Es correcto.
6743,thats cyanide,Eso es cianuro.
6744,thats evident,Es evidente.
6745,thats evident,Está claro.
6746,thats evident,Es obvio.
6747,thats you,Es para ti.
6748,thats helpful,Eso es de ayuda.
6749,thats hogwash,Eso es una tontería.
6750,thats hogwash,Eso es una idiotez.
6751,thats illegal,Eso es ilegal.
6752,thats immoral,Eso es inmoral.
6753,thats beer,Esa es mi cerveza.
6754,thats book,Ese es mi libro.
6755,thats doll,Es mi bebé.
6756,thats idea,Esa es mi idea.
6757,thats line,¡Esa es mi frase!
6758,thats wife,Ella es mi esposa.
6759,thats tom,Ese no es Tom.
6760,thats obscene,Eso es obsceno.
6761,thats obvious,Eso salta a la vista.
6762,thats obvious,Es obvio.
6763,thats perfect,Eso es perfecto.
6764,thats plastic,Eso es plástico.
6765,thats private,Eso es privado.
6766,thats serious,Eso es grave.
6767,thats lame,Eso es tan patético.
6768,thats strange,Eso es extraño.
6769,thats suicide,Es un suicidio.
6770,thats key,Esa es la llave.
6771,thats one,Es ese.
6772,thats bad,Eso es una lástima.
6773,thats bad,Qué malo.
6774,baby cry,El bebé lloró.
6775,bird sing,Los pájaros cantaban.
6776,dog bark,El perro ladraba.
6777,dog his,El perro es suyo.
6778,flag up,La bandera está alzada.
6779,ice melt,El hielo se derritió.
6780,roof leak,El techo gotea.
6781,siren blow,La sirena sonó.
6782,twin sing,Los gemelos cantaron.
6783,eye meet,Las miradas se cruzaron.
6784,lips meet,Sus labios se encontraron.
6795,applaud,Ellos aplaudieron.
6797,happy,Ellos están felices.
6798,ask him,Le preguntaron.
6800,come back,Volvieron.
6801,come back,Regresaron.
6802,find tom,Encontraron a Tom.
6803,find out,Ellos lo descubrieron.
6805,hat tom,Ellos odiaban a Tom.
6806,hat tom,Ellas odiaban a Tom.
6807,hat tom,Odiaban a Tom.
6812,help me,Ellos me ayudaron.
6813,know that,Saben eso.
6814,know that,Lo saben.
6815,let go,Me dejaron ir.
6816,look good,Parecen estar bien.
6817,look good,Se ven bien.
6818,love that,Les encanta eso.
6819,love that,Adoran eso.
6820,love tom,Ellos amaban a Tom.
6821,love you,Les encantaste.
6822,love you,Les encantabas.
6823,love you,Te querían.
6824,love you,Te quisieron.
6825,mean well,Ellos son bienintencionados.
6826,need help,Ellos necesitan ayuda.
6827,quarrel,Ellos discutieron.
6828,ruin it,Ellos lo arruinaron.
6829,say that,Dijeron eso.
6830,say that,Ellos dijeron eso.
6831,seem fine,Parecen estar bien.
6832,smell bad,Ellos huelen mal.
6833,struggle,Lo pasaron mal.
6834,struggle,Se esforzaron.
6835,trust tom,Ellos confían en Tom.
6836,want more,Quieren más.
6837,want this,Quieren esto.
6838,want this,Ellos quieren esto.
6848,work hard,Trabajan mucho.
6849,theyll attack,Atacarán.
6850,theyll attack,Ellos atacarán.
6851,theyll starve,Se van a morir de hambre.
6852,theyre break,Están rotos.
6853,theyre break,Están estropeados.
6854,theyre come,Vienen.
6855,theyre family,Ellos son familia.
6856,theyre family,Ellas son familia.
6857,theyre family,Son familia.
6858,theyre hide,Ellos están escondidos.
6859,theyre hollow,Ellos están vacíos.
6860,theyre idiots,Son idiotas.
6861,theyre insane,Están fatal.
6862,theyre insane,Están muy mal.
6863,theyre insane,Se les va la olla.
6864,theyre insane,Tienen un buen cacao mental.
6865,theyre insane,Están mal de la azotea.
6866,theyre insane,Se les va la pinza.
6867,theyre insane,Están idos de la cabeza.
6868,theyre insane,Están como cabras.
6869,theyre insane,Están como una cabra.
6870,theyre insane,Están molidos de la cabeza.
6871,theyre insane,Tienen una taradura importante.
6872,theyre inside,Están dentro.
6873,theyre joke,Están de broma.
6874,theyre try,Lo están intentando.
6875,things change,Las cosas cambiaron.
6876,think it,Piénsatelo.
6877,think it,Piénsalo.
6878,think it,Piensa al respecto.
6879,think it,Piénselo.
6880,dog bite,Este perro muerde.
6881,dog bite,Esta perra muerde.
6892,better,Esto es mejor.
6893,better,Esto está mejor.
6896,break,Esto está roto.
6897,break,Esto está quebrado.
6898,break,Esto está descompuesto.
6899,break,Esto está estropeado.
6900,creepy,Esto es espeluznante.
6901,insane,Esto es una locura.
6902,insane,Esto es de locos.
6915,simple,Esto es sencillo.
6916,simple,Es simple.
6918,theirs,Esto es de ellos.
6919,must stop,Esto debe parar.
6920,one work,Este funciona.
6929,throw dice,Tira los dados.
6930,throw dice,Arroja los dados.
6931,throw dice,Lanza el dado.
6932,throw dice,Tira el dado.
6933,ticket please,"El billete, por favor."
6934,tie shoe,Átate los cordones.
6935,tom apologize,Tomás se disculpó.
6936,tom approach,Tom se acercó.
6937,tom beat up,Tom me dio una paliza.
6938,tom call you,Tom te llamó.
6939,tom come close,Tom se acercó.
6940,tom come early,Tom vino temprano.
6941,tom answer,Tom puede responder.
6942,tom cant move,Tom está paralizado.
6943,tom cant sing,Tom no sabe cantar.
6944,tom cant stay,Tom no puede quedarse.
6945,tom cant swim,Tom no sabe nadar.
6946,tom cant talk,Tom no puede hablar.
6947,tom cant wait,Tom no puede esperar.
6948,tom cant walk,Tom no puede caminar.
6949,tom cant walk,Tom no puede andar.
6950,tom cant work,Tom no puede trabajar.
6951,tom cook well,Tom cocina bien.
6952,tom ask,Tom no preguntó.
6953,tom run,Tom no corrió.
6954,tom win,Tom no ganó.
6955,tom die alone,Tom murió solo.
6956,tom die,Tom murió a los 65.
6957,tom die happy,Tom murió feliz.
6958,tom die young,Tom murió joven.
6959,tom drive fast,Tom condujo rápido.
6960,tom felt dizzy,Tom se sentía mareado.
6961,tom felt happy,Tom se sintió feliz.
6962,tom felt lucky,Tom se sintió afortunado.
6963,tom felt tire,Tom se sentía cansado.
6964,tom fire mary,Tom despidió a Mary.
6965,tom fire once,Tom disparó una vez.
6966,tom find mary,Tom encontró a Mary.
6967,tom give blood,Tom donó sangre.
6968,tom get closer,Tom se aproximó.
6969,tom get rob,Tom fue robado.
6970,tom asthma,Tom tiene asma.
6971,tom hat mary,Tom odiaba a Mary.
6972,tom hat mary,Tom odia a Mary.
6973,tom hear mary,Tom escuchó a Mary.
6974,tom help mary,Tom ayuda a Mary.
6975,tom hire mary,Tom contrató a Mary.
6976,tom improvise,Tom improvisó.
6977,tom improvise,Tom hizo una improvisación.
6978,tom intervene,Tom fue el que intervino.
6979,tom intervene,Tom intervino.
6980,tom creep,Tom es un lacroso.
6981,tom creep,Tom es un guarro.
6982,tom creep,Tom es un repugnante.
6983,tom creep,Tom es un asqueroso.
6984,tom creep,Tom es un cerdomarrano.
6985,tom creep,Tom es un friki.
6986,tom drink,Tom es un borracho.
6987,tom dwarf,Tom es enano.
6988,tom loser,Tom es un perdedor.
6989,tom pilot,Tom es piloto.
6990,tom rebel,Tom es un rebelde.
6991,tom thief,Tom es un ladrón.
6992,tom ashamed,Tom está avergonzado.
6993,tom work,Tom está en el trabajo.
6994,tom baffle,Tom está confundido.
6995,tom careful,Tom es cuidadoso.
6996,tom cook,Tom está cocinando.
6997,tom correct,Tom tiene razón.
6998,tom dance,Tomás está bailando.
6999,tom devious,Tom es taimado.
7000,tom focus,Tom está concentrado.
7001,tom freak,Tom es temeroso
7002,tom furious,Tom está furioso.
7003,tom helpful,Tom es servicial.
7004,tom jail,Tom está preso.
7005,tom love,Tom está enamorado.
7006,tom kid,Tomás está bromeando.
7007,tom marry,Tom está casado.
7008,tom miserly,Tom es tacaño.
7009,tom miss,Falta Tomás.
7010,tom idol,Tom es mi ídolo.
7011,tom name,Me llamo Tom.
7012,tom naughty,Tom es travieso.
7013,tom nervous,Tom está nervioso.
7014,tom duty,Tom está de servicio.
7015,tom hold,Tom está esperando al teléfono.
7016,tom patient,Tom es paciente.
7017,tom perfect,Tom es perfecto.
7018,tom pray,Tom está rezando.
7019,tom read,Tom está leyendo.
7020,tom relax,Tom está relajado.
7021,tom shake,Tom está temblando.
7022,tom shallow,Tom es frívolo.
7023,tom sing,Tom está cantando.
7024,tom sing,Tom canta.
7025,tom smoke,Tom está fumando.
7026,tom snore,Tom está roncando.
7027,tom spoil,Tom está malcriado.
7028,tom stay,Tomás se queda.
7029,tom thirsty,Tom está sediento.
7030,tom thirsty,Tom tiene sed.
7031,tom trap,Tom está atrapado.
7032,tom useless,Tomás es inservible.
7033,tom useless,Tomás es un cero a la izquierda.
7034,tom useless,Tomás es un bueno para nada.
7035,tom wait,Tom está esperando.
7036,tom whine,Tom se está quejando.
7037,tom win,Tomás está ganando.
7038,tom us,Tom está con nosotros.
7039,tom busy,Tom no está ocupado.
7040,tom dead,Tom no ha muerto.
7041,tom dumb,Tom no es estúpido.
7042,tom here,Tom no está aquí.
7043,tom sure,Tom no está seguro.
7044,tom tall,Tom no es alto.
7045,tom know mary,Tom conoce a Mary.
7046,tom lie me,Tom me mintió.
7047,tom lie us,Tom nos mintió.
7048,tom like mary,A Tom le gustaba Mary.
7049,tom like that,A Tom le gustó.
7050,tom like that,A Tom le gustó eso.
7051,tom like mary,Tom quiere a Mary.
7052,tom like mary,A Tom le gusta Mary.
7053,tom like cat,A Tom le gustan los gatos.
7054,tom like fish,A Tom le gusta el pescado.
7055,tom like jazz,A Tom le gusta el jazz.
7056,tom like snow,A Tom le gusta la nieve.
7057,tom like that,A Tom le gusta eso.
7058,tom like them,A Tom le gustan.
7059,tom like this,A Tom le gusta esto.
7060,tom like wine,A Tom le gusta el vino.
7061,tom live here,Tom vive acá.
7062,tom look mad,Tom parecía enojado.
7063,tom look dead,Tomás parece estar muerto.
7064,tom look pale,Tom luce pálido.
7065,tom look sick,Tom parece enfermo.
7066,tom love mary,Tom amaba a Mary.
7067,tom love mary,Tom ama a Mary.
7068,tom love dog,Tom ama a los perros.
7069,tom mislead you,Tom te engañó.
7070,tom miss you,Tom te echa de menos.
7071,tom need mary,Tomás necesita a María.
7072,tom need help,Tom necesita ayuda.
7073,tom need time,Tom necesita tiempo.
7074,tom page mary,Tom envió un aviso a Mary.
7075,tom pinch me,Tomás me pellizco.
7076,tom read lot,Tom leyó mucho.
7077,tom remember,Tomás se acordó.
7078,tom remember,Tom recordó.
7079,tom say hello,"Tom dice ""hola""."
7080,tom seem mad,Tom parecía enojado.
7081,tom seem shy,Tomás parecía tímido.
7082,tom seem mean,Tom parece tacaño.
7083,tom seem nice,Tom parece copado.
7084,tom set trap,Tom me puso una trampa.
7085,tom shed tear,Tom lloró.
7086,tom understand,Tom entendió.
7087,tom want mary,Tom quiere a Mary.
7088,tom better,Tom estaba mejor.
7089,tom cry,Tom estaba llorando.
7090,tom famous,Tom era famoso.
7091,tom frame,Tom fue retratado.
7092,tom frame,Tom fue enmarcado.
7093,tom humble,Tom era humilde.
7094,tom humble,Tom fue humilde.
7095,tom hungry,Tom tenía hambre.
7096,tom inside,Tom estaba adentro.
7097,tom rob,Tom fue robado.
7098,tom scar,Tom estaba aterrado.
7099,tom skinny,Tom estaba delgaducho.
7100,tom go blind,Tom se quedó ciego.
7101,tom fight,Tom luchará.
7102,tom speak,Tom hablará.
7103,tom know,Tom no sabrá.
7104,tom sing,Tom no cantará.
7105,tom stay,Tom no se va a quedar.
7106,tom talk,Tom no va a hablar.
7107,tom wear hat,Tom llevaba un sombrero.
7108,tom work here,Tom trabaja acá.
7109,toms canadian,Tom es canadiense.
7110,toms charm,Tom es encantador.
7111,toms confuse,Tomás está confundido.
7112,toms there,Tom está allí.
7113,toms strand,Tom está colgado.
7114,toms sweat,Tom está sudando.
7115,toms swim,Tom está nadando.
7116,toms thrill,Tom está emocionado.
7117,toms thrill,Tom está entusiasmado.
7118,toms thrill,Tom está ilusionado.
7119,tom answer me,"¡Tom, respóndeme!"
7120,tom die,"No te mueras, Tom."
7121,try cry,Intenta no llorar.
7122,try candy,Prueba este dulce.
7123,try sauce,Prueba esta salsa.
7124,try find it,Trata de encontrarlo.
7125,try stop me,Intenta pararme.
7126,turn tv,Enciende la tele.
7127,turn tv,Enciende la televisión.
7128,turn tv,Súbe el volumen al televisor.
7129,wait turn,Espera tu turno.
7130,wait go,Espera. No te vayas.
7131,dream,¿Era un sueño?
7135,wash face,Lávate la cara.
7136,wash feet,Lávate los pies.
7137,wash feet,Lavaos los pies.
7138,watch yourself,Ten cuidado.
7139,adopt tom,Adoptamos a Tom.
7140,know it,Todos lo sabíamos.
7141,know it,Todos lo sabemos.
7142,already eat,Nosotros ya comimos.
7144,cousins,Somos primos.
7145,doctor,Somos médicos.
7147,pay you,Nosotros podemos pagarte.
7148,cant it,No podemos hacerlo.
7149,drink lot,Bebimos mucho.
7150,eat home,Comemos en casa.
7151,forgive him,Le perdonamos.
7152,go tomorrow,Iremos mañana.
7153,go tomorrow,Vamos mañana.
7154,go tomorrow,Nos vamos mañana.
7155,get marry,Nos hemos casado.
7156,get marry,Nos casamos.
7159,need plan,Necesitamos un plan.
7160,need win,Necesitamos ganar.
7161,need help,Necesitábamos ayuda.
7162,need help,Nosotros necesitábamos ayuda.
7163,saw nothing,No hemos visto nada.
7165,study music,Nosotros estudiamos música.
7166,surrender,Nos rendimos.
7167,volunteer,Nos presentamos voluntarios.
7168,volunteer,Nos apuntamos voluntariamente.
7169,frame,Fuimos enmarcados.
7170,frame,Fuimos culpados.
7173,wed better go,Sería mejor que nos vayamos.
7174,wed like that,Eso nos gustaría.
7175,well happy,Estaremos felices.
7176,well there,Ahí estaremos.
7177,well call you,Os llamaremos.
7178,well find out,Nosotros lo averiguaremos.
7179,well help you,Te vamos a ayudar.
7180,well miss you,Te vamos a extrañar.
7181,well paint it,Lo pintaremos.
7182,well save you,Te salvaremos.
7183,be brothers,Somos hermanos.
7184,be busy men,Somos hombres ocupados.
7185,be busy men,Somos personas ocupadas.
7186,be credible,Somos confiables.
7187,be divorce,Estamos divorciados.
7188,be famish,Estamos famélicos.
7189,be famish,Estamos muertos de hambre.
7190,be gullible,Somos ingenuos.
7191,be hopeless,Estamos sin esperanza.
7192,be italy,Estamos en Italia.
7193,be poor,No somos pobres.
7194,be rich,No somos ricos.
7195,be leave,Estamos de vacaciones.
7196,be restless,Somos inquietos.
7197,be starve,Nos morimos de hambre.
7198,be strand,Estamos colgados.
7199,be thorough,Somos minuciosos.
7200,be early,Nos levantamos temprano.
7201,be watch,Estamos observando.
7202,be watch,Estamos mirando.
7203,be watch,Observamos.
7204,be watch,Miramos.
7205,be you,Estamos con vos.
7206,weve hit,Se nos ha golpeado.
7207,weve find it,Lo hemos encontrado.
7208,weve get them,Los tenemos.
7209,weve get this,Tenemos esto.
7210,weve get time,Tenemos tiempo.
7211,weve see her,Nosotros la vimos.
7212,weve see her,Nosotras la vimos.
7213,weve see her,La hemos visto.
7214,weve see him,Le hemos visto.
7215,alone,¿Estabas solo?
7216,alone,¿Estabas sola?
7217,there,¿Estabas allí?
7218,big dog,¡Qué perro más grande!
7219,big dog,¡Qué perro tan grande!
7220,concept,¡Qué concepto!
7221,country,¡Qué país!
7222,hot day,¡Qué día más caluroso!
7223,letdown,Vaya chasco.
7224,letdown,Vaya decepción.
7225,think,¡Qué pensamiento!
7226,tragedy,¡Qué tragedia!
7228,these,¿Qué son éstos?
7229,these,¿Qué son éstas?
7230,those,¿Qué son ésos?
7231,those,¿Qué son ésas?
7233,cause it,¿Qué lo causó?
7234,cause it,¿Qué lo causa?
7242,there,¿Qué ha sido eso?
7243,there,¿Qué había ahí?
7244,whats here,¿Qué hay aquí?
7245,whats like,¿Cómo es?
7246,whats like,¿A qué se parece?
7248,whens over,¿Cuándo termina?
7251,paris,¿Dónde está París?
7255,wheres boston,¿Dónde está Boston?
7256,wheres bag,¿Dónde está mi bolso?
7257,wheres car,¿Dónde está mi coche?
7258,wheres tea,¿Dónde está mi té?
7259,side win,¿Qué lado ganó?
7260,team win,¿Qué equipo ganó?
7261,break this,¿Quién rompió esto?
7262,break this,¿Quién lo rompió?
7263,else know,¿Quién más sabe?
7264,else know,¿Quién más lo sabe?
7265,go there,¿Quién va allí?
7266,help tom,¿Quién ayudó a Tom?
7267,help you,¿Quién te ayudó?
7268,intervene,¿Quién intervino?
7269,intervene,¿Quién fue el que intervino?
7271,kill tom,¿Quién mató a Tom?
7272,know that,¿Quién lo sabe?
7273,need that,¿Quién necesita eso?
7274,need that,¿Quién necesita aquello?
7275,paint it,¿Quién lo pintó?
7276,sell this,¿Quién vende esto?
7277,want that,¿Quién quiere eso?
7278,want this,¿Quién quiere esto?
7280,would care,¿A quién le importaría?
7281,write that,¿Quién escribió eso?
7282,write this,¿Quién escribió esto?
7283,whos laugh,¿Quién se está riendo?
7284,whos watch,¿Quién está de guardia?
7285,whos speak,¿Quién está hablando?
7286,whos boy,¿Quién es ese chico?
7287,whos man,¿Quién es ese hombre?
7288,whos man,¿Quién es aquel hombre?
7289,whos one,¿Quién es este?
7290,whos watch,¿Quién está mirando?
7291,whos watch,¿Quién vigila?
7292,whose they,¿De quién son?
7295,tom wet,¿Por qué está Tom mojado?
7298,wind clock,Dale cuerda al reloj.
7299,wipe nose,Sonate la nariz.
7300,women hate tom,Las mujeres odian a Tom.
7301,women like tom,A las mujeres les gusta Tom.
7302,women love it,A las mujeres les encantaba.
7303,women love it,A las mujeres les encantó.
7304,women love it,Las mujeres lo adoraban.
7305,women love it,Las mujeres lo adoraron.
7306,yes know it,"Sí, lo sé."
7307,yes course,"Sí, claro."
7308,yes course,"Sí, ciertamente."
7309,yes course,Claro que si.
7310,yes go,"Sí, podemos ir."
7311,morons,Ustedes son idiotas.
7312,stupid,Eres estúpido.
7313,stupid,Eres un estúpido.
7314,cant swim,No podéis nadar.
7315,cant walk,No puedes andar.
7316,change it,¿Tú lo cambiaste?
7318,disgust me,Me das asco.
7320,ignore me,Me ignorabas.
7321,ignore me,Me ignoraste.
7322,lie me,Me mentiste.
7323,lie us,Nos mentiste.
7324,look awful,Te ves horrible.
7325,look awful,Tienes un aspecto horrible.
7326,look bore,Pareces aburrido.
7327,look great,Te ves genial.
7328,look happy,Te ves contento.
7329,look happy,Parece usted feliz.
7330,look happy,Se le ve feliz.
7331,look sharp,Pareces listo.
7332,look sharp,Pareces espabilado.
7333,look sharp,Pareces ser espabilado.
7334,look tire,Pareces cansado.
7335,look tire,Pareces cansada.
7336,look tire,Usted se ve cansado.
7337,look tire,Tienes cara de sueño.
7338,look upset,Pareces molesto.
7339,may go now,Ahora puedes irte.
7340,may refuse,Puedes negarte.
7341,must it,Tienes que hacerlo.
7342,must leave,Tienes que irte.
7343,need job,Necesitas un trabajo.
7344,need key,Necesitas una llave.
7345,need money,Necesitan dinero.
